subject,question
Reasoning,"In a group of friends, Alice is taller than Bob, Bob is taller than Claire, and Claire is taller than David. Who is the tallest person in the group?"
Reasoning,"If all cats are animals and some animals are mammals, which of the following statements is true?"
Reasoning,"Find the missing number in the series: 2, 5, 10, 17, ?"
Reasoning,"If all flowers are plants and some plants are red, which of the following statements is true?"
Reasoning,"If Monday is the day after Sunday, Tuesday is two days after Monday, and Wednesday is three days after Tuesday, what day comes after Wednesday?"
Reasoning,"Arrange the following words in alphabetical order: Elephant, Dog, Cat, Bear"
Reasoning,"If all birds can fly and some penguins are birds, which of the following statements is true?"
Reasoning,Complete the analogy: Circle is to Round as Square is to __.
Reasoning,"If Tom is taller than Jerry, Jerry is taller than Mike, and Mike is taller than Tom, which of the following statements is true?"
Reasoning,"Identify the missing pattern in the series: 2, 4, 8, 16, 32, ?"
Reasoning,"If all cats have tails and some animals have tails, which of the following statements is true?"
Reasoning,"In a group of friends, John is older than Mary, Mary is older than Sarah, and Sarah is older than David. Who is the youngest person in the group?"
Reasoning,Complete the analogy: Book is to Author as Song is to __.
